id,nset1,nset2,nset3,nset4,nset5,nset6,nset7,nset8,nset9,nset10,nset11,nset12,mset1,mset2,mset3,mset4,mset5,mset6,mset7,mset8,mset9,mset10,mset11,mset12,TotAmt,TotTrans
40125,0,0.219512195,0.341463415,0.292682927,0.048780488,0.048780488,0.048780488,0,0,0,0,0,0,0.257201649,0.501028801,0.024691363,0.104938271,0.062757207,0.049382709,0,0,0,0,0,619911.11,41
40134,0,0,0,0.45,0,0,0,0,0,0.55,0,0,0,0,0,0.005000002,0,0,0,0,0,0.994999998,0,0,508939.81,20
40135,0,0.5,0.166666667,0,0,0,0.333333333,0,0,0,0,0,0,0.615058328,0.101802757,0,0,0,0.283138915,0,0,0,0,0,441670.16,6
40136,0.021276596,0.510638298,0.127659574,0.14893617,0.063829787,0.063829787,0.042553191,0,0,0,0,0.021276596,0.018285716,0.652571428,0.13371428,0.038857142,0.057142859,0.046857137,0.033142858,0,0,0,0,0.01942858,597096.66,47
40159,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,339825.78,14
40162,0,0.555555556,0.222222222,0,0,0.222222222,0,0,0,0,0,0,0,0.451646107,0.276748956,0,0,0.271604937,0,0,0,0,0,0,240749.49,9
40168,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,149949.16,10
40191,0,0.25,0,0.607142857,0.035714286,0.035714286,0.071428571,0,0,0,0,0,0,0.403707519,0,0.139031924,0.019567456,0.083419151,0.354273951,0,0,0,0,0,623900.74,28
40200,0,0.078947368,0.263157895,0.289473684,0,0.026315789,0,0,0,0.342105263,0,0,0,0.15871122,0.181384247,0.048926012,0,0.005966583,0,0,0,0.605011938,0,0,1206321.9,38
40201,0,0,0.153846154,0.615384615,0,0,0.076923077,0.076923077,0,0,0,0.076923077,0,0,0.443556437,0.320679365,0,0,0.048951064,0.000998979,0,0,0,0.185814155,129402.09,13
40202,0,0,0.076923077,0.384615385,0,0.076923077,0.461538462,0,0,0,0,0,0,0,0.041194648,0.711637483,0,0.005149328,0.24201854,0,0,0,0,0,449746.04,13
40215,0.785714286,0.071428571,0,0.142857143,0,0,0,0,0,0,0,0,0.881999988,0.018000012,0,0.1,0,0,0,0,0,0,0,0,343397,14
40222,0.066666667,0,0,0.066666667,0.533333333,0.133333333,0.2,0,0,0,0,0,0.030029994,0,0,0.10210211,0.514514512,0.088088124,0.26526526,0,0,0,0,0,121861.83,15
40227,0,0.15,0,0.55,0,0.2,0.016666667,0.083333333,0,0,0,0,0,0.170282,0,0.451193062,0,0.317787411,0,0.060737527,0,0,0,0,676883.17,60
40231,0,0.523809524,0,0.238095238,0,0,0.047619048,0,0,0,0.19047619,0,0,0.449999994,0,0.000999994,0,0,0.006000007,0,0,0,0.543000005,0,476782.74,21
40252,0,0.076923077,0,0,0.153846154,0.076923077,0,0.153846154,0,0.538461538,0,0,0,0.187679098,0,0,0.227793711,0.093123189,0,0.318051589,0,0.173352414,0,0,230554.39,13
40255,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,399064.24,17
40263,0,0,0,0,0.666666667,0,0,0.333333333,0,0,0,0,0,0,0,0,0.830999971,0,0,0.169000029,0,0,0,0,141721.1,6
40290,0.166666667,0.25,0,0,0.25,0.083333333,0,0.083333333,0,0,0,0.166666667,0.353999997,0.211999994,0,0,0.298999991,0.017000008,0,0.064999995,0,0,0,0.053000014,312986.33,12
40294,0,0.052631579,0.736842105,0,0,0,0,0.210526316,0,0,0,0,0,0.209999998,0.719999999,0,0,0,0,0.070000003,0,0,0,0,878271.96,19
40304,0.011494253,0.034482759,0,0.034482759,0,0.252873563,0,0,0.114942529,0.551724138,0,0,0.006896553,0.094252869,0,0.054022993,0,0.409195397,0,0,0.18390805,0.251724138,0,0,968478,87
40322,0,0.708333333,0.208333333,0.083333333,0,0,0,0,0,0,0,0,0,0.786000004,0.21099999,0.003000006,0,0,0,0,0,0,0,0,500455.71,72
40346,0,0.428571429,0.25,0.071428571,0.053571429,0.071428571,0.053571429,0.071428571,0,0,0,0,0,0.438990181,0.276297337,0.019635347,0.060308554,0.042075736,0.088359045,0.074333799,0,0,0,0,590440.29,56
40360,0,0.557446809,0.374468085,0.021276596,0.008510638,0.038297872,0,0,0,0,0,0,0,0.536787563,0.324352332,0.080829017,0.025906737,0.032124351,0,0,0,0,0,0,2031387.06,235
40406,0,0.2,0.3,0,0,0,0.3,0.2,0,0,0,0,0,0.262953373,0.318652839,0,0,0,0.357512943,0.060880846,0,0,0,0,162713.41,10
40409,0,0.375,0,0.125,0.125,0.125,0,0.25,0,0,0,0,0,0.401599231,0,0.173824777,0.076923077,0.065935506,0,0.281717409,0,0,0,0,2975.18,8
40421,0,0.18,0,0,0.08,0.7,0,0.04,0,0,0,0,0,0.257377046,0,0,0.280327873,0.437704921,0,0.02459016,0,0,0,0,763780.31,50
40441,0,0.363636364,0,0,0.545454545,0.090909091,0,0,0,0,0,0,0,0.337662379,0,0,0.444555426,0.217782195,0,0,0,0,0,0,92117.31,11
40442,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,289371.13,8
40450,0,0,0,0.357142857,0,0,0,0,0,0.642857143,0,0,0,0,0,0.649999996,0,0,0,0,0,0.350000004,0,0,349046.91,14
40461,0,0.791666667,0,0,0,0.083333333,0.125,0,0,0,0,0,0,0.779614318,0,0,0,0.214876037,0.005509645,0,0,0,0,0,793989.42,24
40476,0,0.904109589,0,0,0,0.082191781,0.01369863,0,0,0,0,0,0,0.857,0,0,0,0.082,0.060999999,0,0,0,0,0,2249817.56,73
40505,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3878132.43,11
40506,0,0,0.545454545,0.090909091,0.272727273,0,0.090909091,0,0,0,0,0,0,0,0.479999993,0.101000004,0.317000003,0,0.102,0,0,0,0,0,609432.55,11
40534,0.052631579,0.368421053,0,0.105263158,0.263157895,0,0.052631579,0.157894737,0,0,0,0,0.026315791,0.444976067,0,0.075358857,0.055023909,0,0.044258364,0.354067011,0,0,0,0,209289.93,19
40536,0,0,0,0.368421053,0,0,0,0,0,0.631578947,0,0,0,0,0,0.023999964,0,0,0,0,0,0.976000036,0,0,42394.23,19
40561,0,0.090909091,0.795454545,0.102272727,0,0,0.011363636,0,0,0,0,0,0,0.065632463,0.552505959,0.371121716,0,0,0.010739861,0,0,0,0,0,934002.74,88
40565,0,0,0.430555556,0.194444444,0.083333333,0,0.041666667,0.013888889,0,0.125,0.111111111,0,0,0,0.169148935,0.145744682,0.015957446,0,0.098936171,0.008510637,0,0.176595744,0.385106384,0,3664877.11,72
40577,0,0.083333333,0,0,0,0,0,0,0,0.916666667,0,0,0,0.332999958,0,0,0,0,0,0,0,0.667000042,0,0,94498,12
40596,0,0,0.066666667,0.733333333,0.066666667,0,0,0.133333333,0,0,0,0,0,0,0.339000001,0.044999998,0.494999983,0,0,0.121000017,0,0,0,0,262321.12,15
